T/s,I_se/nA,Type
0.116,0.065,$\mathit{I}_\mathrm{EBIC}$
3.34,0.208,$\mathit{I}_\mathrm{EBIC}$
6.05,0.286,$\mathit{I}_\mathrm{EBIC}$
7.06,0.458,$\mathit{I}_\mathrm{EBIC}$
8.07,0.695,$\mathit{I}_\mathrm{EBIC}$
9.08,1.37,$\mathit{I}_\mathrm{EBIC}$
10.2,1.49,$\mathit{I}_\mathrm{EBIC}$
10.4,1.62,$\mathit{I}_\mathrm{EBIC}$
10.6,1.81,$\mathit{I}_\mathrm{EBIC}$
10.8,2,$\mathit{I}_\mathrm{EBIC}$
11,2.26,$\mathit{I}_\mathrm{EBIC}$
11.2,2.64,$\mathit{I}_\mathrm{EBIC}$
11.4,2.81,$\mathit{I}_\mathrm{EBIC}$
11.6,3.04,$\mathit{I}_\mathrm{EBIC}$
11.8,3.34,$\mathit{I}_\mathrm{EBIC}$
12,3.74,$\mathit{I}_\mathrm{EBIC}$
12.2,4.14,$\mathit{I}_\mathrm{EBIC}$
12.4,4.87,$\mathit{I}_\mathrm{EBIC}$
12.6,6.27,$\mathit{I}_\mathrm{EBIC}$
12.8,7.6,$\mathit{I}_\mathrm{EBIC}$
13,8.98,$\mathit{I}_\mathrm{EBIC}$
13.2,11.7,$\mathit{I}_\mathrm{EBIC}$
13.5,12.1,$\mathit{I}_\mathrm{EBIC}$
13.6,12.1,$\mathit{I}_\mathrm{EBIC}$
13.7,12.7,$\mathit{I}_\mathrm{EBIC}$
13.9,13.1,$\mathit{I}_\mathrm{EBIC}$
14,13.1,$\mathit{I}_\mathrm{EBIC}$
14.1,13.4,$\mathit{I}_\mathrm{EBIC}$
14.2,13.7,$\mathit{I}_\mathrm{EBIC}$
14.3,13.7,$\mathit{I}_\mathrm{EBIC}$
14.5,13.8,$\mathit{I}_\mathrm{EBIC}$
14.6,13.8,$\mathit{I}_\mathrm{EBIC}$
14.7,13.8,$\mathit{I}_\mathrm{EBIC}$
14.8,13.9,$\mathit{I}_\mathrm{EBIC}$
14.9,14.1,$\mathit{I}_\mathrm{EBIC}$
15.1,14.2,$\mathit{I}_\mathrm{EBIC}$
15.2,14.2,$\mathit{I}_\mathrm{EBIC}$
15.3,14.3,$\mathit{I}_\mathrm{EBIC}$
15.4,14.6,$\mathit{I}_\mathrm{EBIC}$
15.5,14.6,$\mathit{I}_\mathrm{EBIC}$
15.7,14.8,$\mathit{I}_\mathrm{EBIC}$
15.8,14.8,$\mathit{I}_\mathrm{EBIC}$
15.9,14.8,$\mathit{I}_\mathrm{EBIC}$
16,14.8,$\mathit{I}_\mathrm{EBIC}$
16.1,14.8,$\mathit{I}_\mathrm{EBIC}$
16.3,14.9,$\mathit{I}_\mathrm{EBIC}$
16.4,14.8,$\mathit{I}_\mathrm{EBIC}$
16.5,14.8,$\mathit{I}_\mathrm{EBIC}$
16.6,14.8,$\mathit{I}_\mathrm{EBIC}$
16.7,14.6,$\mathit{I}_\mathrm{EBIC}$
16.9,14.6,$\mathit{I}_\mathrm{EBIC}$
17,14.6,$\mathit{I}_\mathrm{EBIC}$
17.1,14.6,$\mathit{I}_\mathrm{EBIC}$
17.2,14.5,$\mathit{I}_\mathrm{EBIC}$
17.3,14.5,$\mathit{I}_\mathrm{EBIC}$
17.5,14.3,$\mathit{I}_\mathrm{EBIC}$
17.6,14,$\mathit{I}_\mathrm{EBIC}$
17.7,13.8,$\mathit{I}_\mathrm{EBIC}$
17.8,13.6,$\mathit{I}_\mathrm{EBIC}$
17.9,13,$\mathit{I}_\mathrm{EBIC}$
18.1,11.9,$\mathit{I}_\mathrm{EBIC}$
18.2,10.6,$\mathit{I}_\mathrm{EBIC}$
18.3,8.56,$\mathit{I}_\mathrm{EBIC}$
18.6,7.1,$\mathit{I}_\mathrm{EBIC}$
18.8,6.19,$\mathit{I}_\mathrm{EBIC}$
19,5.32,$\mathit{I}_\mathrm{EBIC}$
19.2,4.61,$\mathit{I}_\mathrm{EBIC}$
19.4,3.99,$\mathit{I}_\mathrm{EBIC}$
19.6,3.38,$\mathit{I}_\mathrm{EBIC}$
19.8,3,$\mathit{I}_\mathrm{EBIC}$
20,2.61,$\mathit{I}_\mathrm{EBIC}$
20.2,2.21,$\mathit{I}_\mathrm{EBIC}$
20.4,1.93,$\mathit{I}_\mathrm{EBIC}$
20.6,1.68,$\mathit{I}_\mathrm{EBIC}$
20.8,1.46,$\mathit{I}_\mathrm{EBIC}$
