T/s,I_se/nA,Type
21,1.26,$\mathit{I}_\mathrm{EBIC}$
21.2,1.07,$\mathit{I}_\mathrm{EBIC}$
21.4,0.521,$\mathit{I}_\mathrm{EBIC}$
23,0.289,$\mathit{I}_\mathrm{EBIC}$
24,0.172,$\mathit{I}_\mathrm{EBIC}$
25,0.0332,$\mathit{I}_\mathrm{EBIC}$
27.7,-0.0566,$\mathit{I}_\mathrm{EBIC}$
29,-0.075,$\mathit{I}_\mathrm{EBIC}$
30.3,-0.0684,$\mathit{I}_\mathrm{EBIC}$
31.6,-0.0767,$\mathit{I}_\mathrm{EBIC}$
32.9,-0.0669,$\mathit{I}_\mathrm{EBIC}$
6.05,0.973449,$\mathit{I}_\mathrm{PE}$
6.066666667,0.963461,$\mathit{I}_\mathrm{PE}$
6.083333333,0.981805,$\mathit{I}_\mathrm{PE}$
6.1,0.964003,$\mathit{I}_\mathrm{PE}$
6.116666667,0.988302,$\mathit{I}_\mathrm{PE}$
6.133333333,1.03218,$\mathit{I}_\mathrm{PE}$
6.15,1.00807,$\mathit{I}_\mathrm{PE}$
6.166666667,1.02683,$\mathit{I}_\mathrm{PE}$
6.183333333,1.03859,$\mathit{I}_\mathrm{PE}$
6.2,1.05841,$\mathit{I}_\mathrm{PE}$
6.216666667,1.03105,$\mathit{I}_\mathrm{PE}$
6.233333333,1.04643,$\mathit{I}_\mathrm{PE}$
6.25,1.11565,$\mathit{I}_\mathrm{PE}$
6.266666667,1.10861,$\mathit{I}_\mathrm{PE}$
6.283333333,1.13139,$\mathit{I}_\mathrm{PE}$
6.3,1.08799,$\mathit{I}_\mathrm{PE}$
6.316666667,1.15481,$\mathit{I}_\mathrm{PE}$
6.333333333,1.13957,$\mathit{I}_\mathrm{PE}$
6.35,1.16222,$\mathit{I}_\mathrm{PE}$
6.366666667,1.15226,$\mathit{I}_\mathrm{PE}$
6.383333333,1.13986,$\mathit{I}_\mathrm{PE}$
6.4,1.18058,$\mathit{I}_\mathrm{PE}$
6.416666667,1.15087,$\mathit{I}_\mathrm{PE}$
6.433333333,1.21542,$\mathit{I}_\mathrm{PE}$
6.45,1.20608,$\mathit{I}_\mathrm{PE}$
6.466666667,1.20719,$\mathit{I}_\mathrm{PE}$
6.483333333,1.21796,$\mathit{I}_\mathrm{PE}$
6.5,1.24456,$\mathit{I}_\mathrm{PE}$
6.516666667,1.22573,$\mathit{I}_\mathrm{PE}$
6.533333333,1.22954,$\mathit{I}_\mathrm{PE}$
6.55,1.2281,$\mathit{I}_\mathrm{PE}$
6.566666667,1.27492,$\mathit{I}_\mathrm{PE}$
6.583333333,1.29655,$\mathit{I}_\mathrm{PE}$
6.6,1.31791,$\mathit{I}_\mathrm{PE}$
6.616666667,1.30811,$\mathit{I}_\mathrm{PE}$
6.633333333,1.32408,$\mathit{I}_\mathrm{PE}$
6.65,1.29564,$\mathit{I}_\mathrm{PE}$
6.666666667,1.28702,$\mathit{I}_\mathrm{PE}$
6.683333333,1.34129,$\mathit{I}_\mathrm{PE}$
6.7,1.3275,$\mathit{I}_\mathrm{PE}$
6.716666667,1.34413,$\mathit{I}_\mathrm{PE}$
6.733333333,1.39175,$\mathit{I}_\mathrm{PE}$
6.75,1.35399,$\mathit{I}_\mathrm{PE}$
6.766666667,1.3351,$\mathit{I}_\mathrm{PE}$
6.783333333,1.34006,$\mathit{I}_\mathrm{PE}$
6.8,1.3638,$\mathit{I}_\mathrm{PE}$
6.816666667,1.3667,$\mathit{I}_\mathrm{PE}$
6.833333333,1.38982,$\mathit{I}_\mathrm{PE}$
6.85,1.42932,$\mathit{I}_\mathrm{PE}$
6.866666667,1.45367,$\mathit{I}_\mathrm{PE}$
6.883333333,1.48065,$\mathit{I}_\mathrm{PE}$
6.9,1.45725,$\mathit{I}_\mathrm{PE}$
6.916666667,1.42114,$\mathit{I}_\mathrm{PE}$
6.933333333,1.51692,$\mathit{I}_\mathrm{PE}$
6.95,1.43785,$\mathit{I}_\mathrm{PE}$
6.966666667,1.44217,$\mathit{I}_\mathrm{PE}$
6.983333333,1.50461,$\mathit{I}_\mathrm{PE}$
7,1.47072,$\mathit{I}_\mathrm{PE}$
7.016666667,1.53802,$\mathit{I}_\mathrm{PE}$
7.033333333,1.51714,$\mathit{I}_\mathrm{PE}$
7.05,1.58272,$\mathit{I}_\mathrm{PE}$
7.066666667,1.59696,$\mathit{I}_\mathrm{PE}$
7.083333333,1.53021,$\mathit{I}_\mathrm{PE}$
7.1,1.58717,$\mathit{I}_\mathrm{PE}$
7.116666667,1.59407,$\mathit{I}_\mathrm{PE}$
7.133333333,1.60109,$\mathit{I}_\mathrm{PE}$
7.15,1.57202,$\mathit{I}_\mathrm{PE}$
7.166666667,1.64661,$\mathit{I}_\mathrm{PE}$
7.183333333,1.69659,$\mathit{I}_\mathrm{PE}$
7.2,1.69323,$\mathit{I}_\mathrm{PE}$
7.216666667,1.70656,$\mathit{I}_\mathrm{PE}$
7.233333333,1.6625,$\mathit{I}_\mathrm{PE}$
7.25,1.65932,$\mathit{I}_\mathrm{PE}$
7.266666667,1.72126,$\mathit{I}_\mathrm{PE}$
7.283333333,1.77365,$\mathit{I}_\mathrm{PE}$
7.3,1.72142,$\mathit{I}_\mathrm{PE}$
7.316666667,1.75073,$\mathit{I}_\mathrm{PE}$
7.333333333,1.76036,$\mathit{I}_\mathrm{PE}$
7.35,1.82081,$\mathit{I}_\mathrm{PE}$
7.366666667,1.82305,$\mathit{I}_\mathrm{PE}$
7.383333333,1.84861,$\mathit{I}_\mathrm{PE}$
7.4,1.85631,$\mathit{I}_\mathrm{PE}$
7.416666667,1.87348,$\mathit{I}_\mathrm{PE}$
7.433333333,1.81616,$\mathit{I}_\mathrm{PE}$
7.45,1.9098,$\mathit{I}_\mathrm{PE}$
7.466666667,1.81367,$\mathit{I}_\mathrm{PE}$
7.483333333,1.91156,$\mathit{I}_\mathrm{PE}$
7.5,1.84226,$\mathit{I}_\mathrm{PE}$
7.516666667,1.95406,$\mathit{I}_\mathrm{PE}$
7.533333333,1.94958,$\mathit{I}_\mathrm{PE}$
7.55,1.90477,$\mathit{I}_\mathrm{PE}$
7.566666667,1.92558,$\mathit{I}_\mathrm{PE}$
7.583333333,1.97557,$\mathit{I}_\mathrm{PE}$
7.6,1.96606,$\mathit{I}_\mathrm{PE}$
7.616666667,2.02146,$\mathit{I}_\mathrm{PE}$
7.633333333,1.97632,$\mathit{I}_\mathrm{PE}$
7.65,2.07152,$\mathit{I}_\mathrm{PE}$
7.666666667,1.97378,$\mathit{I}_\mathrm{PE}$
7.683333333,1.98944,$\mathit{I}_\mathrm{PE}$
7.7,2.03843,$\mathit{I}_\mathrm{PE}$
7.716666667,2.11865,$\mathit{I}_\mathrm{PE}$
7.733333333,2.06591,$\mathit{I}_\mathrm{PE}$
7.75,2.0756,$\mathit{I}_\mathrm{PE}$
7.766666667,2.03722,$\mathit{I}_\mathrm{PE}$
7.783333333,2.13498,$\mathit{I}_\mathrm{PE}$
7.8,2.09568,$\mathit{I}_\mathrm{PE}$
7.816666667,2.12044,$\mathit{I}_\mathrm{PE}$
7.833333333,2.0904,$\mathit{I}_\mathrm{PE}$
7.85,2.22104,$\mathit{I}_\mathrm{PE}$
7.866666667,2.11959,$\mathit{I}_\mathrm{PE}$
7.883333333,2.13796,$\mathit{I}_\mathrm{PE}$
7.9,2.19269,$\mathit{I}_\mathrm{PE}$
7.916666667,2.24417,$\mathit{I}_\mathrm{PE}$
7.933333333,2.28702,$\mathit{I}_\mathrm{PE}$
7.95,2.22538,$\mathit{I}_\mathrm{PE}$
7.966666667,2.25391,$\mathit{I}_\mathrm{PE}$
7.983333333,2.2343,$\mathit{I}_\mathrm{PE}$
8,2.22127,$\mathit{I}_\mathrm{PE}$
8.016666667,2.26857,$\mathit{I}_\mathrm{PE}$
8.033333333,2.35573,$\mathit{I}_\mathrm{PE}$
8.05,2.26688,$\mathit{I}_\mathrm{PE}$
8.066666667,2.32515,$\mathit{I}_\mathrm{PE}$
8.083333333,2.32769,$\mathit{I}_\mathrm{PE}$
8.1,2.42999,$\mathit{I}_\mathrm{PE}$
8.116666667,2.49074,$\mathit{I}_\mathrm{PE}$
8.133333333,2.54134,$\mathit{I}_\mathrm{PE}$
8.15,2.49407,$\mathit{I}_\mathrm{PE}$
8.166666667,2.63979,$\mathit{I}_\mathrm{PE}$
8.183333333,2.54405,$\mathit{I}_\mathrm{PE}$
8.2,2.62457,$\mathit{I}_\mathrm{PE}$
8.216666667,2.66752,$\mathit{I}_\mathrm{PE}$
8.233333333,2.70498,$\mathit{I}_\mathrm{PE}$
8.25,2.73294,$\mathit{I}_\mathrm{PE}$
8.266666667,2.76637,$\mathit{I}_\mathrm{PE}$
8.283333333,2.86035,$\mathit{I}_\mathrm{PE}$
8.3,2.85664,$\mathit{I}_\mathrm{PE}$
8.316666667,2.9272,$\mathit{I}_\mathrm{PE}$
8.333333333,2.84267,$\mathit{I}_\mathrm{PE}$
8.35,3.02269,$\mathit{I}_\mathrm{PE}$
8.366666667,2.92963,$\mathit{I}_\mathrm{PE}$
8.383333333,3.00036,$\mathit{I}_\mathrm{PE}$
8.4,3.16043,$\mathit{I}_\mathrm{PE}$
8.416666667,3.14027,$\mathit{I}_\mathrm{PE}$
8.433333333,3.08172,$\mathit{I}_\mathrm{PE}$
8.45,3.14546,$\mathit{I}_\mathrm{PE}$
8.466666667,3.16025,$\mathit{I}_\mathrm{PE}$
8.483333333,3.20707,$\mathit{I}_\mathrm{PE}$
8.5,3.37093,$\mathit{I}_\mathrm{PE}$
8.516666667,3.38287,$\mathit{I}_\mathrm{PE}$
8.533333333,3.48875,$\mathit{I}_\mathrm{PE}$
8.55,3.34452,$\mathit{I}_\mathrm{PE}$
8.566666667,3.46191,$\mathit{I}_\mathrm{PE}$
8.583333333,3.41434,$\mathit{I}_\mathrm{PE}$
8.6,3.45149,$\mathit{I}_\mathrm{PE}$
8.616666667,3.45511,$\mathit{I}_\mathrm{PE}$
8.633333333,3.58475,$\mathit{I}_\mathrm{PE}$
8.65,3.59475,$\mathit{I}_\mathrm{PE}$
8.666666667,3.67154,$\mathit{I}_\mathrm{PE}$
8.683333333,3.78985,$\mathit{I}_\mathrm{PE}$
8.7,3.66039,$\mathit{I}_\mathrm{PE}$
8.716666667,3.80324,$\mathit{I}_\mathrm{PE}$
8.733333333,3.9348,$\mathit{I}_\mathrm{PE}$
8.75,3.90933,$\mathit{I}_\mathrm{PE}$
8.766666667,3.87397,$\mathit{I}_\mathrm{PE}$
8.783333333,3.91711,$\mathit{I}_\mathrm{PE}$
8.8,4.09096,$\mathit{I}_\mathrm{PE}$
8.816666667,4.0667,$\mathit{I}_\mathrm{PE}$
8.833333333,4.17065,$\mathit{I}_\mathrm{PE}$
8.85,4.14023,$\mathit{I}_\mathrm{PE}$
8.866666667,3.98433,$\mathit{I}_\mathrm{PE}$
8.883333333,4.01918,$\mathit{I}_\mathrm{PE}$
8.9,4.22996,$\mathit{I}_\mathrm{PE}$
8.916666667,4.20193,$\mathit{I}_\mathrm{PE}$
8.933333333,4.16273,$\mathit{I}_\mathrm{PE}$
8.95,4.39718,$\mathit{I}_\mathrm{PE}$
8.966666667,4.2216,$\mathit{I}_\mathrm{PE}$
8.983333333,4.307,$\mathit{I}_\mathrm{PE}$
9,4.52953,$\mathit{I}_\mathrm{PE}$
9.016666667,4.46149,$\mathit{I}_\mathrm{PE}$
9.033333333,4.54646,$\mathit{I}_\mathrm{PE}$
9.05,4.4074,$\mathit{I}_\mathrm{PE}$
9.066666667,4.55019,$\mathit{I}_\mathrm{PE}$
9.083333333,4.55411,$\mathit{I}_\mathrm{PE}$
9.1,4.46097,$\mathit{I}_\mathrm{PE}$
9.116666667,4.55832,$\mathit{I}_\mathrm{PE}$
9.133333333,4.70943,$\mathit{I}_\mathrm{PE}$
9.15,4.51331,$\mathit{I}_\mathrm{PE}$
9.166666667,4.71423,$\mathit{I}_\mathrm{PE}$
9.183333333,4.77771,$\mathit{I}_\mathrm{PE}$
9.2,4.58254,$\mathit{I}_\mathrm{PE}$
9.216666667,4.5707,$\mathit{I}_\mathrm{PE}$
9.233333333,4.62349,$\mathit{I}_\mathrm{PE}$
9.25,4.5054,$\mathit{I}_\mathrm{PE}$
9.266666667,4.53323,$\mathit{I}_\mathrm{PE}$
9.283333333,4.70759,$\mathit{I}_\mathrm{PE}$
9.3,4.62017,$\mathit{I}_\mathrm{PE}$
9.316666667,4.82644,$\mathit{I}_\mathrm{PE}$
9.333333333,4.69217,$\mathit{I}_\mathrm{PE}$
9.35,4.81461,$\mathit{I}_\mathrm{PE}$
9.366666667,4.75793,$\mathit{I}_\mathrm{PE}$
9.383333333,4.67276,$\mathit{I}_\mathrm{PE}$
9.4,4.64745,$\mathit{I}_\mathrm{PE}$
9.416666667,4.76138,$\mathit{I}_\mathrm{PE}$
9.433333333,4.86967,$\mathit{I}_\mathrm{PE}$
9.45,4.71986,$\mathit{I}_\mathrm{PE}$
9.466666667,4.73815,$\mathit{I}_\mathrm{PE}$
9.483333333,4.65527,$\mathit{I}_\mathrm{PE}$
9.5,4.82731,$\mathit{I}_\mathrm{PE}$
9.516666667,4.74959,$\mathit{I}_\mathrm{PE}$
9.533333333,4.61108,$\mathit{I}_\mathrm{PE}$
9.55,4.89657,$\mathit{I}_\mathrm{PE}$
9.566666667,4.85252,$\mathit{I}_\mathrm{PE}$
9.583333333,4.69643,$\mathit{I}_\mathrm{PE}$
9.6,4.69534,$\mathit{I}_\mathrm{PE}$
9.616666667,4.92622,$\mathit{I}_\mathrm{PE}$
9.633333333,4.77247,$\mathit{I}_\mathrm{PE}$
9.65,4.72219,$\mathit{I}_\mathrm{PE}$
9.666666667,4.66653,$\mathit{I}_\mathrm{PE}$
9.683333333,4.74612,$\mathit{I}_\mathrm{PE}$
9.7,4.77169,$\mathit{I}_\mathrm{PE}$
9.716666667,4.89597,$\mathit{I}_\mathrm{PE}$
9.733333333,4.80407,$\mathit{I}_\mathrm{PE}$
9.75,4.703,$\mathit{I}_\mathrm{PE}$
9.766666667,4.73854,$\mathit{I}_\mathrm{PE}$
9.783333333,4.76551,$\mathit{I}_\mathrm{PE}$
9.8,4.99241,$\mathit{I}_\mathrm{PE}$
9.816666667,4.91655,$\mathit{I}_\mathrm{PE}$
9.833333333,4.73023,$\mathit{I}_\mathrm{PE}$
9.85,4.81428,$\mathit{I}_\mathrm{PE}$
9.866666667,5.0116,$\mathit{I}_\mathrm{PE}$
9.883333333,4.97809,$\mathit{I}_\mathrm{PE}$
9.9,4.84831,$\mathit{I}_\mathrm{PE}$
9.916666667,4.93761,$\mathit{I}_\mathrm{PE}$
9.933333333,4.84719,$\mathit{I}_\mathrm{PE}$
9.95,5.01076,$\mathit{I}_\mathrm{PE}$
9.966666667,5.04649,$\mathit{I}_\mathrm{PE}$
9.983333333,4.8976,$\mathit{I}_\mathrm{PE}$
10,5.01259,$\mathit{I}_\mathrm{PE}$
10.01666667,4.96954,$\mathit{I}_\mathrm{PE}$
10.03333333,4.93571,$\mathit{I}_\mathrm{PE}$
10.05,4.82457,$\mathit{I}_\mathrm{PE}$
10.06666667,4.82141,$\mathit{I}_\mathrm{PE}$
10.08333333,4.9779,$\mathit{I}_\mathrm{PE}$
10.1,5.08935,$\mathit{I}_\mathrm{PE}$
10.11666667,5.01604,$\mathit{I}_\mathrm{PE}$
10.13333333,4.84552,$\mathit{I}_\mathrm{PE}$
10.15,4.87025,$\mathit{I}_\mathrm{PE}$
10.16666667,5.06375,$\mathit{I}_\mathrm{PE}$
10.18333333,5.145,$\mathit{I}_\mathrm{PE}$
10.2,5.09902,$\mathit{I}_\mathrm{PE}$
10.21666667,4.91791,$\mathit{I}_\mathrm{PE}$
10.23333333,4.93228,$\mathit{I}_\mathrm{PE}$
10.25,5.00573,$\mathit{I}_\mathrm{PE}$
10.26666667,5.132,$\mathit{I}_\mathrm{PE}$
10.28333333,5.22894,$\mathit{I}_\mathrm{PE}$
10.3,5.03046,$\mathit{I}_\mathrm{PE}$
10.31666667,5.08669,$\mathit{I}_\mathrm{PE}$
10.33333333,5.36508,$\mathit{I}_\mathrm{PE}$
10.35,5.17997,$\mathit{I}_\mathrm{PE}$
10.36666667,5.22874,$\mathit{I}_\mathrm{PE}$
10.38333333,5.38477,$\mathit{I}_\mathrm{PE}$
10.4,5.34421,$\mathit{I}_\mathrm{PE}$
10.41666667,5.28535,$\mathit{I}_\mathrm{PE}$
10.43333333,5.34683,$\mathit{I}_\mathrm{PE}$
10.45,5.6773,$\mathit{I}_\mathrm{PE}$
10.46666667,5.4365,$\mathit{I}_\mathrm{PE}$
10.48333333,5.66223,$\mathit{I}_\mathrm{PE}$
10.5,5.5131,$\mathit{I}_\mathrm{PE}$
10.51666667,5.7476,$\mathit{I}_\mathrm{PE}$
10.53333333,5.63783,$\mathit{I}_\mathrm{PE}$
10.55,6.00768,$\mathit{I}_\mathrm{PE}$
10.56666667,5.80563,$\mathit{I}_\mathrm{PE}$
10.58333333,6.07083,$\mathit{I}_\mathrm{PE}$
10.6,5.91938,$\mathit{I}_\mathrm{PE}$
10.61666667,6.008,$\mathit{I}_\mathrm{PE}$
10.63333333,6.26818,$\mathit{I}_\mathrm{PE}$
10.65,6.19789,$\mathit{I}_\mathrm{PE}$
10.66666667,6.20701,$\mathit{I}_\mathrm{PE}$
10.68333333,6.30425,$\mathit{I}_\mathrm{PE}$
10.7,6.11809,$\mathit{I}_\mathrm{PE}$
10.71666667,6.31258,$\mathit{I}_\mathrm{PE}$
10.73333333,6.3247,$\mathit{I}_\mathrm{PE}$
10.75,6.426,$\mathit{I}_\mathrm{PE}$
10.76666667,6.61982,$\mathit{I}_\mathrm{PE}$
10.78333333,6.71643,$\mathit{I}_\mathrm{PE}$
10.8,6.8062,$\mathit{I}_\mathrm{PE}$
10.81666667,6.6178,$\mathit{I}_\mathrm{PE}$
10.83333333,6.8818,$\mathit{I}_\mathrm{PE}$
10.85,6.7742,$\mathit{I}_\mathrm{PE}$
10.86666667,6.76622,$\mathit{I}_\mathrm{PE}$
10.88333333,7.17008,$\mathit{I}_\mathrm{PE}$
10.9,7.04707,$\mathit{I}_\mathrm{PE}$
10.91666667,7.21675,$\mathit{I}_\mathrm{PE}$
10.93333333,7.20199,$\mathit{I}_\mathrm{PE}$
10.95,7.3741,$\mathit{I}_\mathrm{PE}$
10.96666667,7.54844,$\mathit{I}_\mathrm{PE}$
10.98333333,7.35041,$\mathit{I}_\mathrm{PE}$
11,7.52126,$\mathit{I}_\mathrm{PE}$
11.01666667,7.32394,$\mathit{I}_\mathrm{PE}$
11.03333333,7.8294,$\mathit{I}_\mathrm{PE}$
11.05,7.68755,$\mathit{I}_\mathrm{PE}$
11.06666667,8.05434,$\mathit{I}_\mathrm{PE}$
11.08333333,7.79671,$\mathit{I}_\mathrm{PE}$
11.1,7.86651,$\mathit{I}_\mathrm{PE}$
11.11666667,8.13846,$\mathit{I}_\mathrm{PE}$
11.13333333,8.26873,$\mathit{I}_\mathrm{PE}$
11.15,8.52322,$\mathit{I}_\mathrm{PE}$
11.16666667,8.54697,$\mathit{I}_\mathrm{PE}$
11.18333333,8.36532,$\mathit{I}_\mathrm{PE}$
11.2,8.92633,$\mathit{I}_\mathrm{PE}$
11.21666667,8.97263,$\mathit{I}_\mathrm{PE}$
11.23333333,8.87958,$\mathit{I}_\mathrm{PE}$
11.25,9.14114,$\mathit{I}_\mathrm{PE}$
11.26666667,9.06267,$\mathit{I}_\mathrm{PE}$
11.28333333,8.79684,$\mathit{I}_\mathrm{PE}$
11.3,9.31134,$\mathit{I}_\mathrm{PE}$
11.31666667,8.9578,$\mathit{I}_\mathrm{PE}$
11.33333333,9.31961,$\mathit{I}_\mathrm{PE}$
11.35,9.51633,$\mathit{I}_\mathrm{PE}$
11.36666667,9.23259,$\mathit{I}_\mathrm{PE}$
11.38333333,9.01814,$\mathit{I}_\mathrm{PE}$
11.4,9.37786,$\mathit{I}_\mathrm{PE}$
11.41666667,9.50912,$\mathit{I}_\mathrm{PE}$
11.43333333,9.29373,$\mathit{I}_\mathrm{PE}$
11.45,9.6401,$\mathit{I}_\mathrm{PE}$
11.46666667,9.45983,$\mathit{I}_\mathrm{PE}$
11.48333333,9.72164,$\mathit{I}_\mathrm{PE}$
11.5,9.68114,$\mathit{I}_\mathrm{PE}$
11.51666667,9.72054,$\mathit{I}_\mathrm{PE}$
11.53333333,9.64755,$\mathit{I}_\mathrm{PE}$
11.55,9.633,$\mathit{I}_\mathrm{PE}$
11.56666667,10.1795,$\mathit{I}_\mathrm{PE}$
11.58333333,10.0052,$\mathit{I}_\mathrm{PE}$
11.6,10.3959,$\mathit{I}_\mathrm{PE}$
11.61666667,10.4048,$\mathit{I}_\mathrm{PE}$
11.63333333,10.4082,$\mathit{I}_\mathrm{PE}$
11.65,10.3235,$\mathit{I}_\mathrm{PE}$
11.66666667,10.1381,$\mathit{I}_\mathrm{PE}$
11.68333333,10.825,$\mathit{I}_\mathrm{PE}$
11.7,10.8821,$\mathit{I}_\mathrm{PE}$
11.71666667,10.3803,$\mathit{I}_\mathrm{PE}$
11.73333333,10.933,$\mathit{I}_\mathrm{PE}$
11.75,10.7981,$\mathit{I}_\mathrm{PE}$
11.76666667,11.2053,$\mathit{I}_\mathrm{PE}$
11.78333333,10.8087,$\mathit{I}_\mathrm{PE}$
11.8,10.8697,$\mathit{I}_\mathrm{PE}$
11.81666667,10.8014,$\mathit{I}_\mathrm{PE}$
11.83333333,11.035,$\mathit{I}_\mathrm{PE}$
11.85,11.5964,$\mathit{I}_\mathrm{PE}$
11.86666667,11.7234,$\mathit{I}_\mathrm{PE}$
11.88333333,11.789,$\mathit{I}_\mathrm{PE}$
11.9,11.3498,$\mathit{I}_\mathrm{PE}$
11.91666667,11.8537,$\mathit{I}_\mathrm{PE}$
11.93333333,11.5453,$\mathit{I}_\mathrm{PE}$
11.95,11.6407,$\mathit{I}_\mathrm{PE}$
11.96666667,11.8033,$\mathit{I}_\mathrm{PE}$
11.98333333,12.4428,$\mathit{I}_\mathrm{PE}$
12,12.3403,$\mathit{I}_\mathrm{PE}$
12.01666667,12.1935,$\mathit{I}_\mathrm{PE}$
12.03333333,12.3341,$\mathit{I}_\mathrm{PE}$
12.05,12.7285,$\mathit{I}_\mathrm{PE}$
12.06666667,13.0956,$\mathit{I}_\mathrm{PE}$
12.08333333,12.6242,$\mathit{I}_\mathrm{PE}$
12.1,13.2837,$\mathit{I}_\mathrm{PE}$
12.11666667,13.3641,$\mathit{I}_\mathrm{PE}$
12.13333333,12.837,$\mathit{I}_\mathrm{PE}$
12.15,13.1892,$\mathit{I}_\mathrm{PE}$
12.16666667,13.7301,$\mathit{I}_\mathrm{PE}$
12.18333333,13.4776,$\mathit{I}_\mathrm{PE}$
12.2,13.8369,$\mathit{I}_\mathrm{PE}$
12.21666667,13.4126,$\mathit{I}_\mathrm{PE}$
12.23333333,13.6408,$\mathit{I}_\mathrm{PE}$
12.25,13.7528,$\mathit{I}_\mathrm{PE}$
12.26666667,14.4,$\mathit{I}_\mathrm{PE}$
12.28333333,15.0159,$\mathit{I}_\mathrm{PE}$
12.3,14.8002,$\mathit{I}_\mathrm{PE}$
12.31666667,15.3879,$\mathit{I}_\mathrm{PE}$
