T/s,I_EBIC/A,I_prim/A,I_P/nA,I_se/nA
0.216666667,7.70379E-12,1.96579E-11,0.0196579,0.007703791
0.233333333,8.17005E-12,2.07386E-11,0.0207386,0.008170047
0.25,8.6363E-12,2.20297E-11,0.0220297,0.008636303
0.266666667,9.10256E-12,2.39398E-11,0.0239398,0.009102559
0.283333333,9.56882E-12,2.40351E-11,0.0240351,0.009568816
0.3,1.00351E-11,2.56744E-11,0.0256744,0.010035072
0.316666667,1.05013E-11,2.72293E-11,0.0272293,0.010501328
0.333333333,1.09676E-11,2.78745E-11,0.0278745,0.010967584
0.35,1.14338E-11,2.87155E-11,0.0287155,0.01143384
0.366666667,1.19001E-11,3.09135E-11,0.0309135,0.011900097
0.383333333,1.23664E-11,3.20231E-11,0.0320231,0.012366353
0.4,1.28326E-11,3.31873E-11,0.0331873,0.012832609
0.416666667,1.32989E-11,3.41839E-11,0.0341839,0.013298865
0.433333333,1.37651E-11,3.44418E-11,0.0344418,0.013765122
0.45,1.42314E-11,3.70004E-11,0.0370004,0.014231378
0.466666667,1.46976E-11,3.68112E-11,0.0368112,0.014697634
0.483333333,1.51639E-11,3.8851E-11,0.038851,0.01516389
0.5,1.56301E-11,3.96018E-11,0.0396018,0.015630146
0.516666667,1.60964E-11,4.02641E-11,0.0402641,0.016096403
0.533333333,1.65627E-11,4.31883E-11,0.0431883,0.016562659
0.55,1.70289E-11,4.28736E-11,0.0428736,0.017028915
0.566666667,1.74952E-11,4.42726E-11,0.0442726,0.017495171
0.583333333,1.79614E-11,4.54471E-11,0.0454471,0.017961428
0.6,1.84277E-11,4.80462E-11,0.0480462,0.018427684
0.616666667,1.88939E-11,4.86128E-11,0.0486128,0.01889394
0.633333333,1.93602E-11,5.05344E-11,0.0505344,0.019360196
0.65,1.98265E-11,5.1507E-11,0.051507,0.019826452
0.666666667,2.02927E-11,5.21392E-11,0.0521392,0.020292709
0.683333333,2.0759E-11,5.23592E-11,0.0523592,0.020758965
0.7,2.12252E-11,5.49156E-11,0.0549156,0.021225221
0.716666667,2.16915E-11,5.58052E-11,0.0558052,0.021691477
0.733333333,2.21577E-11,5.79536E-11,0.0579536,0.022157734
0.75,2.2624E-11,5.85781E-11,0.0585781,0.02262399
0.766666667,2.30902E-11,5.77745E-11,0.0577745,0.023090246
0.783333333,2.35565E-11,6.08742E-11,0.0608742,0.023556502
0.8,2.40228E-11,6.06281E-11,0.0606281,0.024022759
0.816666667,2.4489E-11,6.34358E-11,0.0634358,0.024489015
0.833333333,2.49553E-11,6.24248E-11,0.0624248,0.024955271
0.85,2.54215E-11,6.53612E-11,0.0653612,0.025421527
0.866666667,2.58878E-11,6.78304E-11,0.0678304,0.025887783
0.883333333,2.6354E-11,6.78679E-11,0.0678679,0.02635404
0.9,2.68203E-11,7.02117E-11,0.0702117,0.026820296
0.916666667,2.72866E-11,7.12121E-11,0.0712121,0.027286552
0.933333333,2.77528E-11,6.99059E-11,0.0699059,0.027752808
0.95,2.82191E-11,7.33284E-11,0.0733284,0.028219065
0.966666667,2.86853E-11,7.44726E-11,0.0744726,0.028685321
0.983333333,2.91516E-11,7.54613E-11,0.0754613,0.029151577
1,2.96178E-11,7.6971E-11,0.076971,0.029617833
1.016666667,3.00841E-11,7.69856E-11,0.0769856,0.030084089
1.033333333,3.05503E-11,8.03844E-11,0.0803844,0.030550346
1.05,3.10166E-11,7.94397E-11,0.0794397,0.031016602
1.066666667,3.14829E-11,8.19618E-11,0.0819618,0.031482858
1.083333333,3.19491E-11,8.24594E-11,0.0824594,0.031949114
1.1,3.24154E-11,8.21161E-11,0.0821161,0.032415371
1.116666667,3.28816E-11,8.43301E-11,0.0843301,0.032881627
1.133333333,3.33479E-11,8.67031E-11,0.0867031,0.033347883
1.15,3.38141E-11,8.85917E-11,0.0885917,0.033814139
1.166666667,3.42804E-11,8.85236E-11,0.0885236,0.034280396
1.183333333,3.47467E-11,8.89717E-11,0.0889717,0.034746652
1.2,3.52129E-11,9.13484E-11,0.0913484,0.035212908
1.216666667,3.56792E-11,9.09602E-11,0.0909602,0.035679164
1.233333333,3.61454E-11,9.06859E-11,0.0906859,0.03614542
1.25,3.66117E-11,9.32445E-11,0.0932445,0.036611677
1.266666667,3.70779E-11,9.68988E-11,0.0968988,0.037077933
1.283333333,3.75442E-11,9.54187E-11,0.0954187,0.037544189
1.3,3.80104E-11,9.77081E-11,0.0977081,0.038010445
1.316666667,3.84767E-11,1.01079E-10,0.101079,0.038476702
1.333333333,3.8943E-11,1.00631E-10,0.100631,0.038942958
1.35,3.94092E-11,1.0039E-10,0.10039,0.039409214
1.366666667,3.98755E-11,1.0324E-10,0.10324,0.03987547
1.383333333,4.03417E-11,1.01391E-10,0.101391,0.040341726
1.4,4.0808E-11,1.07301E-10,0.107301,0.040807983
1.416666667,4.12742E-11,1.04954E-10,0.104954,0.041274239
1.433333333,4.17405E-11,1.04537E-10,0.104537,0.041740495
1.45,4.22068E-11,1.08197E-10,0.108197,0.042206751
1.466666667,4.2673E-11,1.12093E-10,0.112093,0.042673008
1.483333333,4.31393E-11,1.09651E-10,0.109651,0.043139264
1.5,4.36055E-11,1.14503E-10,0.114503,0.04360552
1.516666667,4.40718E-11,1.14537E-10,0.114537,0.044071776
1.533333333,4.4538E-11,1.16082E-10,0.116082,0.044538033
1.55,4.50043E-11,1.18236E-10,0.118236,0.045004289
1.566666667,4.54705E-11,1.15536E-10,0.115536,0.045470545
1.583333333,4.59368E-11,1.17546E-10,0.117546,0.045936801
1.6,4.64031E-11,1.19656E-10,0.119656,0.046403057
1.616666667,4.68693E-11,1.17571E-10,0.117571,0.046869314
1.633333333,4.73356E-11,1.19986E-10,0.119986,0.04733557
1.65,4.78018E-11,1.21044E-10,0.121044,0.047801826
1.666666667,4.82681E-11,1.23738E-10,0.123738,0.048268082
1.683333333,4.87343E-11,1.25195E-10,0.125195,0.048734339
1.7,4.92006E-11,1.25693E-10,0.125693,0.049200595
1.716666667,4.96669E-11,1.27023E-10,0.127023,0.049666851
1.733333333,5.01331E-11,1.26103E-10,0.126103,0.050133107
1.75,5.05994E-11,1.27752E-10,0.127752,0.050599363
1.766666667,5.10656E-11,1.27714E-10,0.127714,0.05106562
1.783333333,5.15319E-11,1.34884E-10,0.134884,0.051531876
1.8,5.19981E-11,1.30364E-10,0.130364,0.051998132
