Energy/keV,Reflected/counts,Transmitted/counts
1,0,0
2,0,0
3,0,0
4,0,0
5,2,0
6,0,1
7,0,0
8,0,0
9,0,0
10,0,1
11,1,1
12,1,2
13,0,2
14,0,2
15,0,1
16,0,2
17,0,1
18,0,2
19,2,0
20,2,2
21,1,0
22,1,1
23,0,2
24,1,2
25,1,2
26,2,2
27,2,4
28,3,0
29,1,3
30,1,4
31,1,7
32,1,6
33,0,2
34,0,6
35,0,4
36,1,2
37,3,4
38,0,3
39,1,4
40,0,5
41,2,2
42,0,6
43,0,2
44,0,3
45,0,8
46,0,10
47,1,6
48,0,5
49,1,5
50,0,4
51,0,2
52,2,5
53,1,3
54,1,4
55,0,10
56,0,7
57,1,3
58,1,4
59,1,6
60,0,3
61,1,8
62,1,12
63,2,7
64,0,8
65,2,8
66,0,9
67,0,5
68,2,11
69,0,5
70,1,8
71,1,9
72,1,6
73,0,6
74,0,10
75,0,15
76,1,6
77,0,7
78,0,5
79,0,7
80,1,8
81,0,11
82,0,11
83,0,16
84,0,6
85,0,5
86,2,7
87,2,8
88,1,10
89,0,6
90,2,9
91,2,14
92,0,8
93,0,8
94,1,16
95,1,9
96,0,18
97,0,15
98,0,9
99,0,6
100,0,6
101,0,11
102,2,10
103,0,14
104,2,17
105,1,9
106,0,14
107,0,6
108,1,15
109,1,12
110,0,9
111,0,14
112,0,12
113,1,14
114,0,16
115,1,12
116,1,12
117,0,17
118,0,9
119,0,8
120,0,15
121,0,18
122,0,13
123,1,24
124,0,8
125,0,11
126,1,15
127,1,19
128,0,20
129,1,18
130,1,15
131,0,12
132,0,21
133,0,22
134,0,17
135,0,19
136,0,19
137,0,19
138,0,24
139,0,15
140,1,16
141,0,14
142,2,21
143,0,23
144,0,22
145,0,22
146,0,22
147,0,28
148,0,28
149,1,34
150,0,43
151,0,68
152,0,70
153,0,67
154,2,58
155,1,73
156,2,51
157,3,69
158,0,73
159,0,65
160,0,68
161,0,62
162,1,62
163,3,66
164,0,58
165,1,66
166,2,59
167,0,78
168,3,70
169,1,67
170,0,64
171,1,73
172,4,86
173,1,94
174,0,86
175,2,100
176,0,80
177,0,82
178,0,96
179,2,65
180,1,78
181,2,85
182,0,74
183,0,92
184,2,87
185,0,88
186,0,104
187,0,81
188,0,108
189,0,113
190,0,100
191,0,105
192,3,96
193,2,110
194,1,86
195,1,109
196,0,117
197,0,108
198,0,116
199,1,130
200,0,122
201,4,135
202,2,110
203,0,131
204,1,126
205,1,154
206,1,123
207,1,144
208,1,159
209,1,134
210,2,151
211,0,139
212,3,158
213,2,179
214,1,184
215,1,158
216,1,176
217,0,209
218,2,261
219,1,480
220,4,181
221,0,205
222,0,220
223,1,200
224,2,237
225,0,209
226,2,236
227,3,221
228,0,220
229,2,217
230,3,243
231,3,263
232,3,274
233,2,279
234,3,264
235,3,300
236,2,304
237,3,314
238,4,317
239,2,312
240,3,352
241,0,330
242,3,358
243,3,380
244,1,397
245,2,416
246,2,447
247,3,449
248,5,452
249,2,461
250,1,508
251,4,566
252,0,569
253,2,537
254,4,560
255,0,653
256,4,640
257,3,675
258,10,717
259,2,743
260,1,804
261,2,780
262,5,893
263,6,974
264,5,987
265,5,1013
266,2,1157
267,5,1167
268,5,1315
269,7,1364
270,4,1378
271,6,1635
272,13,1752
273,13,1754
274,12,1969
275,11,2179
276,10,2411
277,6,2530
278,14,2771
279,9,3124
280,15,3394
281,21,3907
282,24,4409
283,25,5373
284,33,6083
285,36,9152
286,53,13620
287,49,10744
288,61,18260
289,46,11991
290,69,14483
291,67,18466
292,101,24177
293,122,32785
294,209,48141
295,304,78987
296,627,151328
297,1389,403068
298,2655,612504
299,9074,2702600
300,41175,4795139
