T/s,I_EBIC/A,I_prim/A,I_P/nA,I_se/nA
8.133333333,7.37721E-10,2.54134E-09,2.54134,0.737721081
8.15,7.4875E-10,2.49407E-09,2.49407,0.748749926
8.166666667,7.59779E-10,2.63979E-09,2.63979,0.759778771
8.183333333,7.70808E-10,2.54405E-09,2.54405,0.770807617
8.2,7.81836E-10,2.62457E-09,2.62457,0.781836462
8.216666667,7.92865E-10,2.66752E-09,2.66752,0.792865307
8.233333333,8.03894E-10,2.70498E-09,2.70498,0.803894153
8.25,8.14923E-10,2.73294E-09,2.73294,0.814922998
8.266666667,8.25952E-10,2.76637E-09,2.76637,0.825951843
8.283333333,8.36981E-10,2.86035E-09,2.86035,0.836980688
8.3,8.4801E-10,2.85664E-09,2.85664,0.848009534
8.316666667,8.59038E-10,2.9272E-09,2.9272,0.859038379
8.333333333,8.70067E-10,2.84267E-09,2.84267,0.870067224
8.35,8.81096E-10,3.02269E-09,3.02269,0.88109607
8.366666667,8.92125E-10,2.92963E-09,2.92963,0.892124915
8.383333333,9.03154E-10,3.00036E-09,3.00036,0.90315376
8.4,9.14183E-10,3.16043E-09,3.16043,0.914182606
8.416666667,9.25211E-10,3.14027E-09,3.14027,0.925211451
8.433333333,9.3624E-10,3.08172E-09,3.08172,0.936240296
8.45,9.47269E-10,3.14546E-09,3.14546,0.947269141
8.466666667,9.58298E-10,3.16025E-09,3.16025,0.958297987
8.483333333,9.69327E-10,3.20707E-09,3.20707,0.969326832
8.5,9.80356E-10,3.37093E-09,3.37093,0.980355677
8.516666667,9.91385E-10,3.38287E-09,3.38287,0.991384523
8.533333333,1.00241E-09,3.48875E-09,3.48875,1.002413368
8.55,1.01344E-09,3.34452E-09,3.34452,1.013442213
8.566666667,1.02447E-09,3.46191E-09,3.46191,1.024471059
8.583333333,1.0355E-09,3.41434E-09,3.41434,1.035499904
8.6,1.04653E-09,3.45149E-09,3.45149,1.046528749
8.616666667,1.05756E-09,3.45511E-09,3.45511,1.057557594
8.633333333,1.06859E-09,3.58475E-09,3.58475,1.06858644
8.65,1.07962E-09,3.59475E-09,3.59475,1.079615285
8.666666667,1.09064E-09,3.67154E-09,3.67154,1.09064413
8.683333333,1.10167E-09,3.78985E-09,3.78985,1.101672976
8.7,1.1127E-09,3.66039E-09,3.66039,1.112701821
8.716666667,1.12373E-09,3.80324E-09,3.80324,1.123730666
8.733333333,1.13476E-09,3.9348E-09,3.9348,1.134759512
8.75,1.14579E-09,3.90933E-09,3.90933,1.145788357
8.766666667,1.15682E-09,3.87397E-09,3.87397,1.156817202
8.783333333,1.16785E-09,3.91711E-09,3.91711,1.167846048
8.8,1.17887E-09,4.09096E-09,4.09096,1.178874893
8.816666667,1.1899E-09,4.0667E-09,4.0667,1.189903738
8.833333333,1.20093E-09,4.17065E-09,4.17065,1.200932583
8.85,1.21196E-09,4.14023E-09,4.14023,1.211961429
8.866666667,1.22299E-09,3.98433E-09,3.98433,1.222990274
8.883333333,1.23402E-09,4.01918E-09,4.01918,1.234019119
8.9,1.24505E-09,4.22996E-09,4.22996,1.245047965
8.916666667,1.25608E-09,4.20193E-09,4.20193,1.25607681
8.933333333,1.26711E-09,4.16273E-09,4.16273,1.267105655
8.95,1.27813E-09,4.39718E-09,4.39718,1.278134501
8.966666667,1.28916E-09,4.2216E-09,4.2216,1.289163346
8.983333333,1.30019E-09,4.307E-09,4.307,1.300192191
9,1.31122E-09,4.52953E-09,4.52953,1.311221036
9.016666667,1.32225E-09,4.46149E-09,4.46149,1.322249882
9.033333333,1.33328E-09,4.54646E-09,4.54646,1.333278727
9.05,1.34431E-09,4.4074E-09,4.4074,1.344307572
9.066666667,1.35534E-09,4.55019E-09,4.55019,1.355336418
9.083333333,1.36547E-09,4.55411E-09,4.55411,1.365472508
9.1,1.36726E-09,4.46097E-09,4.46097,1.367258507
9.116666667,1.36904E-09,4.55832E-09,4.55832,1.369044506
9.133333333,1.37083E-09,4.70943E-09,4.70943,1.370830505
9.15,1.37262E-09,4.51331E-09,4.51331,1.372616505
9.166666667,1.3744E-09,4.71423E-09,4.71423,1.374402504
9.183333333,1.37619E-09,4.77771E-09,4.77771,1.376188503
9.2,1.37797E-09,4.58254E-09,4.58254,1.377974503
9.216666667,1.37976E-09,4.5707E-09,4.5707,1.379760502
9.233333333,1.38155E-09,4.62349E-09,4.62349,1.381546501
9.25,1.38333E-09,4.5054E-09,4.5054,1.3833325
9.266666667,1.38512E-09,4.53323E-09,4.53323,1.3851185
9.283333333,1.3869E-09,4.70759E-09,4.70759,1.386904499
9.3,1.38869E-09,4.62017E-09,4.62017,1.388690498
9.316666667,1.39048E-09,4.82644E-09,4.82644,1.390476498
9.333333333,1.39226E-09,4.69217E-09,4.69217,1.392262497
9.35,1.39405E-09,4.81461E-09,4.81461,1.394048496
