x_um,y_um,z_um,T_K
-5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.986052191339706496e+02
-4.799999999999999822e-01,-1.399999999999999856e-01,0.000000000000000000e+00,3.101355148313728591e+02
-4.799999999999999822e-01,-1.199999999999999678e-01,-5.999999999999995615e-02,3.141364315674481986e+02
-4.799999999999999822e-01,-1.199999999999999678e-01,-3.999999999999998695e-02,3.185519162195967624e+02
-4.799999999999999822e-01,-1.199999999999999678e-01,-1.999999999999991368e-02,3.206674945955115277e+02
-4.799999999999999822e-01,-1.199999999999999678e-01,0.000000000000000000e+00,3.228029516231504203e+02
-4.799999999999999822e-01,-1.199999999999999678e-01,2.000000000000002123e-02,3.206672225824292468e+02
-4.799999999999999822e-01,-1.199999999999999678e-01,4.000000000000004247e-02,3.185514148995067103e+02
-4.799999999999999822e-01,-1.199999999999999678e-01,6.000000000000006023e-02,3.141358585139828961e+02
-4.799999999999999822e-01,-9.999999999999999167e-02,-7.999999999999997391e-02,3.158999172914456608e+02
-4.799999999999999822e-01,-9.999999999999999167e-02,-5.999999999999995615e-02,3.243573014935468564e+02
-4.799999999999999822e-01,-9.999999999999999167e-02,-3.999999999999998695e-02,3.291220956947885838e+02
-4.799999999999999822e-01,-9.999999999999999167e-02,-1.999999999999991368e-02,3.318393612713813923e+02
-4.799999999999999822e-01,-9.999999999999999167e-02,0.000000000000000000e+00,3.329422233813855314e+02
-4.799999999999999822e-01,-9.999999999999999167e-02,2.000000000000002123e-02,3.318389852261147439e+02
-4.799999999999999822e-01,-9.999999999999999167e-02,4.000000000000004247e-02,3.291213864421257540e+02
-4.799999999999999822e-01,-9.999999999999999167e-02,6.000000000000006023e-02,3.243563811851201990e+02
-4.799999999999999822e-01,-9.999999999999999167e-02,8.000000000000008493e-02,3.158991007986356294e+02
-4.799999999999999822e-01,-7.999999999999997391e-02,-9.999999999999999167e-02,3.158999325777518266e+02
-4.799999999999999822e-01,-7.999999999999997391e-02,-7.999999999999997391e-02,3.255973298525105974e+02
-4.799999999999999822e-01,-7.999999999999997391e-02,-5.999999999999995615e-02,3.325077750978989570e+02
-4.799999999999999822e-01,-7.999999999999997391e-02,-3.999999999999998695e-02,3.378783484003228637e+02
-4.799999999999999822e-01,-7.999999999999997391e-02,-1.999999999999991368e-02,3.417980399447604327e+02
-4.799999999999999822e-01,-7.999999999999997391e-02,0.000000000000000000e+00,3.433835286218542819e+02
-4.799999999999999822e-01,-7.999999999999997391e-02,2.000000000000002123e-02,3.417976100655187679e+02
