x_um,y_um,z_um,T_K
-5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.986095027461930158e+02
-4.799999999999999822e-01,-1.399999999999999856e-01,0.000000000000000000e+00,3.101412714530225685e+02
-4.799999999999999822e-01,-1.199999999999999678e-01,-5.999999999999995615e-02,3.141442831733098728e+02
-4.799999999999999822e-01,-1.199999999999999678e-01,-3.999999999999998695e-02,3.185618734307649333e+02
-4.799999999999999822e-01,-1.199999999999999678e-01,-1.999999999999991368e-02,3.206783184594493150e+02
-4.799999999999999822e-01,-1.199999999999999678e-01,0.000000000000000000e+00,3.228148655167813672e+02
-4.799999999999999822e-01,-1.199999999999999678e-01,2.000000000000002123e-02,3.206780458165971481e+02
-4.799999999999999822e-01,-1.199999999999999678e-01,4.000000000000004247e-02,3.185613709535251132e+02
-4.799999999999999822e-01,-1.199999999999999678e-01,6.000000000000006023e-02,3.141437088032436122e+02
-4.799999999999999822e-01,-9.999999999999999167e-02,-7.999999999999997391e-02,3.159085155093605408e+02
-4.799999999999999822e-01,-9.999999999999999167e-02,-5.999999999999995615e-02,3.243699167041664282e+02
-4.799999999999999822e-01,-9.999999999999999167e-02,-3.999999999999998695e-02,3.291364378099353871e+02
-4.799999999999999822e-01,-9.999999999999999167e-02,-1.999999999999991368e-02,3.318545011260501951e+02
-4.799999999999999822e-01,-9.999999999999999167e-02,0.000000000000000000e+00,3.329577258790923793e+02
-4.799999999999999822e-01,-9.999999999999999167e-02,2.000000000000002123e-02,3.318541241968897566e+02
-4.799999999999999822e-01,-9.999999999999999167e-02,4.000000000000004247e-02,3.291357268942619498e+02
-4.799999999999999822e-01,-9.999999999999999167e-02,6.000000000000006023e-02,3.243689942455578716e+02
-4.799999999999999822e-01,-9.999999999999999167e-02,8.000000000000008493e-02,3.159076971156953846e+02
-4.799999999999999822e-01,-7.999999999999997391e-02,-9.999999999999999167e-02,3.159085308295044001e+02
-4.799999999999999822e-01,-7.999999999999997391e-02,-7.999999999999997391e-02,3.256103745473697018e+02
-4.799999999999999822e-01,-7.999999999999997391e-02,-5.999999999999995615e-02,3.325232359828251560e+02
-4.799999999999999822e-01,-7.999999999999997391e-02,-3.999999999999998695e-02,3.378951040340016903e+02
-4.799999999999999822e-01,-7.999999999999997391e-02,-1.999999999999991368e-02,3.418154546231533004e+02
-4.799999999999999822e-01,-7.999999999999997391e-02,0.000000000000000000e+00,3.434011663279833328e+02
-4.799999999999999822e-01,-7.999999999999997391e-02,2.000000000000002123e-02,3.418150237237661031e+02
-4.799999999999999822e-01,-7.999999999999997391e-02,4.000000000000004247e-02,3.378942777618021864e+02
-4.799999999999999822e-01,-7.999999999999997391e-02,6.000000000000006023e-02,3.325221017415231586e+02
-4.799999999999999822e-01,-7.999999999999997391e-02,8.000000000000008493e-02,3.256091143126215002e+02
-4.799999999999999822e-01,-7.999999999999997391e-02,9.999999999999999167e-02,3.159075096149247202e+02
-4.799999999999999822e-01,-5.999999999999995615e-02,-1.199999999999999678e-01,3.141443252734842417e+02
-4.799999999999999822e-01,-5.999999999999995615e-02,-9.999999999999999167e-02,3.243699608463878121e+02
-4.799999999999999822e-01,-5.999999999999995615e-02,-7.999999999999997391e-02,3.325232622057695266e+02
-4.799999999999999822e-01,-5.999999999999995615e-02,-5.999999999999995615e-02,3.400625580715155820e+02
-4.799999999999999822e-01,-5.999999999999995615e-02,-3.999999999999998695e-02,3.474431382081837683e+02
-4.799999999999999822e-01,-5.999999999999995615e-02,-1.999999999999991368e-02,3.543969160326648762e+02
-4.799999999999999822e-01,-5.999999999999995615e-02,0.000000000000000000e+00,3.578081799880338849e+02
-4.799999999999999822e-01,-5.999999999999995615e-02,2.000000000000002123e-02,3.543964468876640126e+02
-4.799999999999999822e-01,-5.999999999999995615e-02,4.000000000000004247e-02,3.474422301728102980e+02
-4.799999999999999822e-01,-5.999999999999995615e-02,6.000000000000006023e-02,3.400612800209814282e+02
-4.799999999999999822e-01,-5.999999999999995615e-02,8.000000000000008493e-02,3.325217421727763281e+02
-4.799999999999999822e-01,-5.999999999999995615e-02,9.999999999999999167e-02,3.243684283211938464e+02
-4.799999999999999822e-01,-5.999999999999995615e-02,1.200000000000000094e-01,3.141431983091976576e+02
-4.799999999999999822e-01,-3.999999999999998695e-02,-1.199999999999999678e-01,3.185619426364095830e+02
-4.799999999999999822e-01,-3.999999999999998695e-02,-9.999999999999999167e-02,3.291365116325150098e+02
-4.799999999999999822e-01,-3.999999999999998695e-02,-7.999999999999997391e-02,3.378951590935138825e+02
-4.799999999999999822e-01,-3.999999999999998695e-02,-5.999999999999995615e-02,3.474431661785505412e+02
-4.799999999999999822e-01,-3.999999999999998695e-02,-3.999999999999998695e-02,3.590751534875391826e+02
-4.799999999999999822e-01,-3.999999999999998695e-02,-1.999999999999991368e-02,3.723114743676214857e+02
-4.799999999999999822e-01,-3.999999999999998695e-02,0.000000000000000000e+00,3.826831068573740708e+02
-4.799999999999999822e-01,-3.999999999999998695e-02,2.000000000000002123e-02,3.723109696342522739e+02
-4.799999999999999822e-01,-3.999999999999998695e-02,4.000000000000004247e-02,3.590741721946853886e+02
-4.799999999999999822e-01,-3.999999999999998695e-02,6.000000000000006023e-02,3.474417708388773463e+02
-4.799999999999999822e-01,-3.999999999999998695e-02,8.000000000000008493e-02,3.378934630834581299e+02
-4.799999999999999822e-01,-3.999999999999998695e-02,9.999999999999999167e-02,3.291347218430672115e+02
-4.799999999999999822e-01,-3.999999999999998695e-02,1.200000000000000094e-01,3.185604887023197875e+02
-4.799999999999999822e-01,-1.999999999999991368e-02,-1.199999999999999678e-01,3.206784139765010764e+02
-4.799999999999999822e-01,-1.999999999999991368e-02,-9.999999999999999167e-02,3.318546042686328406e+02
-4.799999999999999822e-01,-1.999999999999991368e-02,-7.999999999999997391e-02,3.418155374719288488e+02
-4.799999999999999822e-01,-1.999999999999991368e-02,-5.999999999999995615e-02,3.543969695437427276e+02
