x_um,y_um,z_um,T_K
-5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.929962464604740262e+02
-4.799999999999999822e-01,-1.399999999999999856e-01,0.000000000000000000e+00,3.031672761689793560e+02
-4.799999999999999822e-01,-1.199999999999999678e-01,-5.999999999999995615e-02,3.045631532687976915e+02
-4.799999999999999822e-01,-1.199999999999999678e-01,-3.999999999999998695e-02,3.063350808996987098e+02
-4.799999999999999822e-01,-1.199999999999999678e-01,-1.999999999999991368e-02,3.073332833791827170e+02
-4.799999999999999822e-01,-1.199999999999999678e-01,0.000000000000000000e+00,3.081235557761535233e+02
-4.799999999999999822e-01,-1.199999999999999678e-01,2.000000000000002123e-02,3.073332829923708687e+02
-4.799999999999999822e-01,-1.199999999999999678e-01,4.000000000000004247e-02,3.063350801442406350e+02
-4.799999999999999822e-01,-1.199999999999999678e-01,6.000000000000006023e-02,3.045631523290772407e+02
-4.799999999999999822e-01,-9.999999999999999167e-02,-7.999999999999997391e-02,3.053538285842613504e+02
-4.799999999999999822e-01,-9.999999999999999167e-02,-5.999999999999995615e-02,3.087694367303421927e+02
-4.799999999999999822e-01,-9.999999999999999167e-02,-3.999999999999998695e-02,3.112826120443696141e+02
-4.799999999999999822e-01,-9.999999999999999167e-02,-1.999999999999991368e-02,3.129253881088500293e+02
-4.799999999999999822e-01,-9.999999999999999167e-02,0.000000000000000000e+00,3.135504822267459986e+02
-4.799999999999999822e-01,-9.999999999999999167e-02,2.000000000000002123e-02,3.129253876837444182e+02
-4.799999999999999822e-01,-9.999999999999999167e-02,4.000000000000004247e-02,3.112826112000778380e+02
-4.799999999999999822e-01,-9.999999999999999167e-02,6.000000000000006023e-02,3.087694355518002567e+02
-4.799999999999999822e-01,-9.999999999999999167e-02,8.000000000000008493e-02,3.053538274598047906e+02
-4.799999999999999822e-01,-7.999999999999997391e-02,-9.999999999999999167e-02,3.053538285892840349e+02
-4.799999999999999822e-01,-7.999999999999997391e-02,-7.999999999999997391e-02,3.094301966350035400e+02
-4.799999999999999822e-01,-7.999999999999997391e-02,-5.999999999999995615e-02,3.131667496154569221e+02
-4.799999999999999822e-01,-7.999999999999997391e-02,-3.999999999999998695e-02,3.167605705286530338e+02
-4.799999999999999822e-01,-7.999999999999997391e-02,-1.999999999999991368e-02,3.197443095964065378e+02
-4.799999999999999822e-01,-7.999999999999997391e-02,0.000000000000000000e+00,3.210113170859355591e+02
-4.799999999999999822e-01,-7.999999999999997391e-02,2.000000000000002123e-02,3.197443091881121404e+02
-4.799999999999999822e-01,-7.999999999999997391e-02,4.000000000000004247e-02,3.167605697078313938e+02
-4.799999999999999822e-01,-7.999999999999997391e-02,6.000000000000006023e-02,3.131667484071222702e+02
-4.799999999999999822e-01,-7.999999999999997391e-02,8.000000000000008493e-02,3.094301951782743458e+02
-4.799999999999999822e-01,-7.999999999999997391e-02,9.999999999999999167e-02,3.053538273031967378e+02
-4.799999999999999822e-01,-5.999999999999995615e-02,-1.199999999999999678e-01,3.045631532867050737e+02
-4.799999999999999822e-01,-5.999999999999995615e-02,-9.999999999999999167e-02,3.087694367455707720e+02
-4.799999999999999822e-01,-5.999999999999995615e-02,-7.999999999999997391e-02,3.131667496222547129e+02
-4.799999999999999822e-01,-5.999999999999995615e-02,-5.999999999999995615e-02,3.183006018746081622e+02
-4.799999999999999822e-01,-5.999999999999995615e-02,-3.999999999999998695e-02,3.241701832986830709e+02
-4.799999999999999822e-01,-5.999999999999995615e-02,-1.999999999999991368e-02,3.302758667847844549e+02
-4.799999999999999822e-01,-5.999999999999995615e-02,0.000000000000000000e+00,3.334061165566320710e+02
-4.799999999999999822e-01,-5.999999999999995615e-02,2.000000000000002123e-02,3.302758663502315244e+02
-4.799999999999999822e-01,-5.999999999999995615e-02,4.000000000000004247e-02,3.241701824217535659e+02
-4.799999999999999822e-01,-5.999999999999995615e-02,6.000000000000006023e-02,3.183006005591794292e+02
-4.799999999999999822e-01,-5.999999999999995615e-02,8.000000000000008493e-02,3.131667479294646341e+02
-4.799999999999999822e-01,-5.999999999999995615e-02,9.999999999999999167e-02,3.087694348821836456e+02
-4.799999999999999822e-01,-5.999999999999995615e-02,1.200000000000000094e-01,3.045631517835037698e+02
-4.799999999999999822e-01,-3.999999999999998695e-02,-1.199999999999999678e-01,3.063350809339132752e+02
-4.799999999999999822e-01,-3.999999999999998695e-02,-9.999999999999999167e-02,3.112826120717127196e+02
-4.799999999999999822e-01,-3.999999999999998695e-02,-7.999999999999997391e-02,3.167605705403217939e+02
-4.799999999999999822e-01,-3.999999999999998695e-02,-5.999999999999995615e-02,3.241701832981237885e+02
-4.799999999999999822e-01,-3.999999999999998695e-02,-3.999999999999998695e-02,3.344031496330110258e+02
-4.799999999999999822e-01,-3.999999999999998695e-02,-1.999999999999991368e-02,3.468220376702479371e+02
-4.799999999999999822e-01,-3.999999999999998695e-02,0.000000000000000000e+00,3.569053815682382265e+02
-4.799999999999999822e-01,-3.999999999999998695e-02,2.000000000000002123e-02,3.468220371124169219e+02
-4.799999999999999822e-01,-3.999999999999998695e-02,4.000000000000004247e-02,3.344031485090927163e+02
-4.799999999999999822e-01,-3.999999999999998695e-02,6.000000000000006023e-02,3.241701816104504132e+02
-4.799999999999999822e-01,-3.999999999999998695e-02,8.000000000000008493e-02,3.167605683459522652e+02
-4.799999999999999822e-01,-3.999999999999998695e-02,9.999999999999999167e-02,3.112826095782069729e+02
-4.799999999999999822e-01,-3.999999999999998695e-02,1.200000000000000094e-01,3.063350787532961021e+02
-4.799999999999999822e-01,-1.999999999999991368e-02,-1.199999999999999678e-01,3.073332834367906230e+02
-4.799999999999999822e-01,-1.999999999999991368e-02,-9.999999999999999167e-02,3.129253881509225721e+02
-4.799999999999999822e-01,-1.999999999999991368e-02,-7.999999999999997391e-02,3.197443096077432756e+02
-4.799999999999999822e-01,-1.999999999999991368e-02,-5.999999999999995615e-02,3.302758667687452885e+02
-4.799999999999999822e-01,-1.999999999999991368e-02,-3.999999999999998695e-02,3.468220376437346886e+02
-4.799999999999999822e-01,-1.999999999999991368e-02,-1.999999999999991368e-02,3.760309698852414044e+02
-4.799999999999999822e-01,-1.999999999999991368e-02,0.000000000000000000e+00,4.177596809384736503e+02
-4.799999999999999822e-01,-1.999999999999991368e-02,2.000000000000002123e-02,3.760309690529803675e+02
-4.799999999999999822e-01,-1.999999999999991368e-02,4.000000000000004247e-02,3.468220359697739354e+02
-4.799999999999999822e-01,-1.999999999999991368e-02,6.000000000000006023e-02,3.302758642609794606e+02
-4.799999999999999822e-01,-1.999999999999991368e-02,8.000000000000008493e-02,3.197443063524834201e+02
-4.799999999999999822e-01,-1.999999999999991368e-02,9.999999999999999167e-02,3.129253844437806720e+02
-4.799999999999999822e-01,-1.999999999999991368e-02,1.200000000000000094e-01,3.073332801474753069e+02
-4.799999999999999822e-01,0.000000000000000000e+00,-1.399999999999999856e-01,3.031672762507226935e+02
-4.799999999999999822e-01,0.000000000000000000e+00,-1.199999999999999678e-01,3.081235558748154517e+02
-4.799999999999999822e-01,0.000000000000000000e+00,-9.999999999999999167e-02,3.135504822862270657e+02
-4.799999999999999822e-01,0.000000000000000000e+00,-7.999999999999997391e-02,3.210113170866633254e+02
-4.799999999999999822e-01,0.000000000000000000e+00,-5.999999999999995615e-02,3.334061164986313202e+02
-4.799999999999999822e-01,0.000000000000000000e+00,-3.999999999999998695e-02,3.569053814684592680e+02
-4.799999999999999822e-01,0.000000000000000000e+00,-1.999999999999991368e-02,4.177596808414664338e+02
-4.799999999999999822e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.205875201347757866e+02
-4.799999999999999822e-01,0.000000000000000000e+00,2.000000000000002123e-02,4.177596795124586606e+02
-4.799999999999999822e-01,0.000000000000000000e+00,4.000000000000004247e-02,3.569053787957277564e+02
-4.799999999999999822e-01,0.000000000000000000e+00,6.000000000000006023e-02,3.334061124976639690e+02
-4.799999999999999822e-01,0.000000000000000000e+00,8.000000000000008493e-02,3.210113118996292769e+02
-4.799999999999999822e-01,0.000000000000000000e+00,9.999999999999999167e-02,3.135504763567342366e+02
-4.799999999999999822e-01,0.000000000000000000e+00,1.200000000000000094e-01,3.081235502703503926e+02
-4.799999999999999822e-01,0.000000000000000000e+00,1.400000000000000411e-01,3.031672730657922443e+02
