x_um,y_um,z_um,T_K
-5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.980477631958744951e+02
-4.799999999999999822e-01,-1.399999999999999856e-01,0.000000000000000000e+00,3.093855914514140864e+02
-4.799999999999999822e-01,-1.199999999999999678e-01,-5.999999999999995615e-02,3.131137217537303172e+02
-4.799999999999999822e-01,-1.199999999999999678e-01,-3.999999999999998695e-02,3.172550622203600597e+02
-4.799999999999999822e-01,-1.199999999999999678e-01,-1.999999999999991368e-02,3.192578431176524418e+02
-4.799999999999999822e-01,-1.199999999999999678e-01,0.000000000000000000e+00,3.212513423820411163e+02
-4.799999999999999822e-01,-1.199999999999999678e-01,2.000000000000002123e-02,3.192576476896626900e+02
-4.799999999999999822e-01,-1.199999999999999678e-01,4.000000000000004247e-02,3.172547016705726151e+02
-4.799999999999999822e-01,-1.199999999999999678e-01,6.000000000000006023e-02,3.131133089578718796e+02
-4.799999999999999822e-01,-9.999999999999999167e-02,-7.999999999999997391e-02,3.147800503187846743e+02
-4.799999999999999822e-01,-9.999999999999999167e-02,-5.999999999999995615e-02,3.227144302822760551e+02
-4.799999999999999822e-01,-9.999999999999999167e-02,-3.999999999999998695e-02,3.272544947850815333e+02
-4.799999999999999822e-01,-9.999999999999999167e-02,-1.999999999999991368e-02,3.298679846805464990e+02
-4.799999999999999822e-01,-9.999999999999999167e-02,0.000000000000000000e+00,3.309236544956548869e+02
-4.799999999999999822e-01,-9.999999999999999167e-02,2.000000000000002123e-02,3.298677158783725645e+02
-4.799999999999999822e-01,-9.999999999999999167e-02,4.000000000000004247e-02,3.272539873668592350e+02
-4.799999999999999822e-01,-9.999999999999999167e-02,6.000000000000006023e-02,3.227137710473273273e+02
-4.799999999999999822e-01,-9.999999999999999167e-02,8.000000000000008493e-02,3.147794647184989572e+02
-4.799999999999999822e-01,-7.999999999999997391e-02,-9.999999999999999167e-02,3.147800613598281529e+02
-4.799999999999999822e-01,-7.999999999999997391e-02,-7.999999999999997391e-02,3.238985930315328687e+02
-4.799999999999999822e-01,-7.999999999999997391e-02,-5.999999999999995615e-02,3.304946346236015984e+02
-4.799999999999999822e-01,-7.999999999999997391e-02,-3.999999999999998695e-02,3.356968122538777948e+02
-4.799999999999999822e-01,-7.999999999999997391e-02,-1.999999999999991368e-02,3.395308168232848516e+02
-4.799999999999999822e-01,-7.999999999999997391e-02,0.000000000000000000e+00,3.410873055524289157e+02
-4.799999999999999822e-01,-7.999999999999997391e-02,2.000000000000002123e-02,3.395305104933799498e+02
-4.799999999999999822e-01,-7.999999999999997391e-02,4.000000000000004247e-02,3.356962243898441329e+02
-4.799999999999999822e-01,-7.999999999999997391e-02,6.000000000000006023e-02,3.304938266753123912e+02
-4.799999999999999822e-01,-7.999999999999997391e-02,8.000000000000008493e-02,3.238976939946969651e+02
-4.799999999999999822e-01,-7.999999999999997391e-02,9.999999999999999167e-02,3.147793316086766708e+02
-4.799999999999999822e-01,-5.999999999999995615e-02,-1.199999999999999678e-01,3.131137522113317004e+02
-4.799999999999999822e-01,-5.999999999999995615e-02,-9.999999999999999167e-02,3.227144620691852310e+02
-4.799999999999999822e-01,-5.999999999999995615e-02,-7.999999999999997391e-02,3.304946534040948904e+02
-4.799999999999999822e-01,-5.999999999999995615e-02,-5.999999999999995615e-02,3.378062144685468979e+02
-4.799999999999999822e-01,-5.999999999999995615e-02,-3.999999999999998695e-02,3.450500391462272773e+02
