t_ns,T_centre_K,T_max_K
1.174004192872117325e-01,8.933922046721797869e+02,9.050556321778070696e+02
1.188679245283018882e-01,8.965882389197867042e+02,9.085237137359507642e+02
1.203354297693920300e-01,8.997513822965084955e+02,9.119542358235094071e+02
1.218029350104821856e-01,9.028822149386149931e+02,9.153478347116677014e+02
1.232704402515723274e-01,9.059812990505425887e+02,9.187051290158638039e+02
1.247379454926624692e-01,9.090491796903943396e+02,9.220267204137637691e+02
1.262054507337526110e-01,9.120863855127779516e+02,9.253131943250551785e+02
1.276729559748427667e-01,9.150934294716826116e+02,9.285651205555012666e+02
1.291404612159329224e-01,9.180708094859054427e+02,9.317830539075165461e+02
1.306079664570230503e-01,9.210190090693594129e+02,9.349675347593672541e+02
1.320754716981132060e-01,9.239384979284266137e+02,9.381190896149443006e+02
1.335429769392033617e-01,9.268297325283757573e+02,9.412382316259187292e+02
1.350104821802934896e-01,9.296931566307172261e+02,9.443254610879649817e+02
1.364779874213836453e-01,9.325292018032432679e+02,9.473812659126178914e+02
1.379454926624737732e-01,9.353382879043826961e+02,9.504061220762191624e+02
1.394129979035639566e-01,9.381208235433871323e+02,9.534004940473132592e+02
1.408805031446540845e-01,9.408772065177666946e+02,9.563648351937547432e+02
1.423480083857442402e-01,9.436078242292990126e+02,9.592995881707100807e+02
1.438155136268343681e-01,9.463130540798447328e+02,9.622051852906507747e+02
1.452830188679245238e-01,9.489932638481280947e+02,9.650820488763683898e+02
1.467505241090146795e-01,9.516488120485608988e+02,9.679305915979684869e+02
1.482180293501048074e-01,9.542800482731220200e+02,9.707512167947420494e+02
1.496855345911949631e-01,9.568873135172383400e+02,9.735443187827524980e+02
1.511530398322851187e-01,9.594709404905538577e+02,9.763102831489223945e+02
1.526205450733752744e-01,9.620312539134191638e+02,9.790494870323552732e+02
1.540880503144654023e-01,9.645685707998782163e+02,9.817622993935802924e+02
1.555555555555555303e-01,9.670832007278845595e+02,9.844490812723647650e+02
1.570230607966457137e-01,9.695754460974325184e+02,9.871101860346981312e+02
1.584905660377358416e-01,9.720456023772484286e+02,9.897459596095162624e+02
1.599580712788259973e-01,9.744939583406440988e+02,9.923567407156967874e+02
1.614255765199161252e-01,9.769207962911040113e+02,9.949428610798263435e+02
1.628930817610063086e-01,9.793263922781386555e+02,9.975121636738033430e+02
1.643605870020964366e-01,9.817110163039078543e+02,1.000061449744984657e+03
1.658280922431865645e-01,9.840749325210857705e+02,1.002586408034922442e+03
1.672955974842767202e-01,9.864183994224148364e+02,1.005087357011532049e+03
1.687631027253668758e-01,9.887416700223657244e+02,1.007564608934938747e+03
1.702306079664570315e-01,9.910449920313002394e+02,1.010018470028593697e+03
1.716981132075471594e-01,9.933286080225079786e+02,1.012449240644141582e+03
1.731656184486373151e-01,9.955927555924691887e+02,1.014857215420331158e+03
1.746331236897274708e-01,9.978376675146741945e+02,1.017242683436241123e+03
1.761006289308175987e-01,1.000063571887312037e+03,1.019605928359081759e+03
1.775681341719077544e-01,1.002270692275123338e+03,1.021947228586815868e+03
1.790356394129978823e-01,1.004459247845695700e+03,1.024266857385829098e+03
1.805031446540880657e-01,1.006629453500466184e+03,1.026565083023869647e+03
1.819706498951781937e-01,1.008781520000677574e+03,1.028842168898464024e+03
1.834381551362683493e-01,1.010915654088524548e+03,1.031098373661002370e+03
1.849056603773584773e-01,1.013032058603713494e+03,1.033333951336683185e+03
1.863731656184486329e-01,1.015130932595643799e+03,1.035549151440486867e+03
1.878406708595387886e-01,1.017212471431412268e+03,1.037744219089352555e+03
1.893081761006289165e-01,1.019276866899828065e+03,1.039919395110707910e+03
1.907756813417190722e-01,1.021324307311616508e+03,1.042074916147509839e+03
1.922431865828092279e-01,1.023354977595983087e+03,1.044211014759930777e+03
1.937106918238993836e-01,1.025369059393695352e+03,1.046327919523832861e+03
1.951781970649895115e-01,1.027366731146837083e+03,1.048425855126153920e+03
1.966457023060796394e-01,1.029348168185378654e+03,1.050505042457329637e+03
1.981132075471698228e-01,1.031313542810700483e+03,1.052565698700866733e+03
1.995807127882599508e-01,1.033263024376198018e+03,1.054608037420179471e+03
2.010482180293501064e-01,1.035196779365096972e+03,1.056632268642792724e+03
2.025157232704402344e-01,1.037114971465588724e+03,1.058638598942015960e+03
2.039832285115304178e-01,1.039017761643404356e+03,1.060627231516177289e+03
2.054507337526205457e-01,1.040905308211929196e+03,1.062598366265515324e+03
