x_um,y_um,z_um,T_K
-5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.947401240659348787e+02
-4.799999999999999822e-01,-1.399999999999999856e-01,0.000000000000000000e+00,3.050696865780757321e+02
-4.799999999999999822e-01,-1.199999999999999678e-01,-5.999999999999995615e-02,3.072106005178593477e+02
-4.799999999999999822e-01,-1.199999999999999678e-01,-3.999999999999998695e-02,3.097507038396389021e+02
-4.799999999999999822e-01,-1.199999999999999678e-01,-1.999999999999991368e-02,3.110875042645275244e+02
-4.799999999999999822e-01,-1.199999999999999678e-01,0.000000000000000000e+00,3.122576431284621776e+02
-4.799999999999999822e-01,-1.199999999999999678e-01,2.000000000000002123e-02,3.110874982076178412e+02
-4.799999999999999822e-01,-1.199999999999999678e-01,4.000000000000004247e-02,3.097506924709731493e+02
-4.799999999999999822e-01,-1.199999999999999678e-01,6.000000000000006023e-02,3.072105871597881901e+02
-4.799999999999999822e-01,-9.999999999999999167e-02,-7.999999999999997391e-02,3.083006741222491769e+02
-4.799999999999999822e-01,-9.999999999999999167e-02,-5.999999999999995615e-02,3.131810242633684993e+02
-4.799999999999999822e-01,-9.999999999999999167e-02,-3.999999999999998695e-02,3.163885997301990187e+02
-4.799999999999999822e-01,-9.999999999999999167e-02,-1.999999999999991368e-02,3.183786358776073939e+02
-4.799999999999999822e-01,-9.999999999999999167e-02,0.000000000000000000e+00,3.191533360571587536e+02
-4.799999999999999822e-01,-9.999999999999999167e-02,2.000000000000002123e-02,3.183786281396838262e+02
-4.799999999999999822e-01,-9.999999999999999167e-02,4.000000000000004247e-02,3.163885849086886992e+02
-4.799999999999999822e-01,-9.999999999999999167e-02,6.000000000000006023e-02,3.131810045947830758e+02
-4.799999999999999822e-01,-9.999999999999999167e-02,8.000000000000008493e-02,3.083006562670128687e+02
-4.799999999999999822e-01,-7.999999999999997391e-02,-9.999999999999999167e-02,3.083006743431033669e+02
-4.799999999999999822e-01,-7.999999999999997391e-02,-7.999999999999997391e-02,3.140292494845914462e+02
-4.799999999999999822e-01,-7.999999999999997391e-02,-5.999999999999995615e-02,3.187557815776119128e+02
-4.799999999999999822e-01,-7.999999999999997391e-02,-3.999999999999998695e-02,3.229389804130385073e+02
-4.799999999999999822e-01,-7.999999999999997391e-02,-1.999999999999991368e-02,3.262472436990120741e+02
-4.799999999999999822e-01,-7.999999999999997391e-02,0.000000000000000000e+00,3.276253684850538548e+02
-4.799999999999999822e-01,-7.999999999999997391e-02,2.000000000000002123e-02,3.262472352642261058e+02
-4.799999999999999822e-01,-7.999999999999997391e-02,4.000000000000004247e-02,3.229389640112469237e+02
-4.799999999999999822e-01,-7.999999999999997391e-02,6.000000000000006023e-02,3.187557585759145127e+02
-4.799999999999999822e-01,-7.999999999999997391e-02,8.000000000000008493e-02,3.140292232489267121e+02
-4.799999999999999822e-01,-7.999999999999997391e-02,9.999999999999999167e-02,3.083006524507821382e+02
-4.799999999999999822e-01,-5.999999999999995615e-02,-1.199999999999999678e-01,3.072106011733614537e+02
-4.799999999999999822e-01,-5.999999999999995615e-02,-9.999999999999999167e-02,3.131810248993008940e+02
-4.799999999999999822e-01,-5.999999999999995615e-02,-7.999999999999997391e-02,3.187557819200762310e+02
-4.799999999999999822e-01,-5.999999999999995615e-02,-5.999999999999995615e-02,3.246954936622552168e+02
-4.799999999999999822e-01,-5.999999999999995615e-02,-3.999999999999998695e-02,3.311006822842948623e+02
-4.799999999999999822e-01,-5.999999999999995615e-02,-1.999999999999991368e-02,3.375186450708654320e+02
-4.799999999999999822e-01,-5.999999999999995615e-02,0.000000000000000000e+00,3.407538596678382987e+02
-4.799999999999999822e-01,-5.999999999999995615e-02,2.000000000000002123e-02,3.375186357941585129e+02
-4.799999999999999822e-01,-5.999999999999995615e-02,4.000000000000004247e-02,3.311006641003547770e+02
-4.799999999999999822e-01,-5.999999999999995615e-02,6.000000000000006023e-02,3.246954675542054360e+02
-4.799999999999999822e-01,-5.999999999999995615e-02,8.000000000000008493e-02,3.187557500628589651e+02
-4.799999999999999822e-01,-5.999999999999995615e-02,9.999999999999999167e-02,3.131809918067384046e+02
-4.799999999999999822e-01,-5.999999999999995615e-02,1.200000000000000094e-01,3.072105760244407406e+02
-4.799999999999999822e-01,-3.999999999999998695e-02,-1.199999999999999678e-01,3.097507049505732653e+02
-4.799999999999999822e-01,-3.999999999999998695e-02,-9.999999999999999167e-02,3.163886007905726387e+02
-4.799999999999999822e-01,-3.999999999999998695e-02,-7.999999999999997391e-02,3.229389810796887446e+02
-4.799999999999999822e-01,-3.999999999999998695e-02,-5.999999999999995615e-02,3.311006825336123143e+02
-4.799999999999999822e-01,-3.999999999999998695e-02,-3.999999999999998695e-02,3.418529700588255196e+02
-4.799999999999999822e-01,-3.999999999999998695e-02,-1.999999999999991368e-02,3.545851123123101729e+02
-4.799999999999999822e-01,-3.999999999999998695e-02,0.000000000000000000e+00,3.647792728610377253e+02
-4.799999999999999822e-01,-3.999999999999998695e-02,2.000000000000002123e-02,3.545851014945259863e+02
-4.799999999999999822e-01,-3.999999999999998695e-02,4.000000000000004247e-02,3.418529487886877973e+02
-4.799999999999999822e-01,-3.999999999999998695e-02,6.000000000000006023e-02,3.311006517501331246e+02
-4.799999999999999822e-01,-3.999999999999998695e-02,8.000000000000008493e-02,3.229389428105966999e+02
-4.799999999999999822e-01,-3.999999999999998695e-02,9.999999999999999167e-02,3.163885593625724368e+02
-4.799999999999999822e-01,-3.999999999999998695e-02,1.200000000000000094e-01,3.097506704142200533e+02
-4.799999999999999822e-01,-1.999999999999991368e-02,-1.199999999999999678e-01,3.110875058678055325e+02
-4.799999999999999822e-01,-1.999999999999991368e-02,-9.999999999999999167e-02,3.183786373556779381e+02
-4.799999999999999822e-01,-1.999999999999991368e-02,-7.999999999999997391e-02,3.262472445936111285e+02
-4.799999999999999822e-01,-1.999999999999991368e-02,-5.999999999999995615e-02,3.375186453567845319e+02
-4.799999999999999822e-01,-1.999999999999991368e-02,-3.999999999999998695e-02,3.545851122187598889e+02
-4.799999999999999822e-01,-1.999999999999991368e-02,-1.999999999999991368e-02,3.841234115107819775e+02
-4.799999999999999822e-01,-1.999999999999991368e-02,0.000000000000000000e+00,4.260019305809242383e+02
-4.799999999999999822e-01,-1.999999999999991368e-02,2.000000000000002123e-02,3.841233980373312988e+02
-4.799999999999999822e-01,-1.999999999999991368e-02,4.000000000000004247e-02,3.545850857014204962e+02
-4.799999999999999822e-01,-1.999999999999991368e-02,6.000000000000006023e-02,3.375186068948536899e+02
-4.799999999999999822e-01,-1.999999999999991368e-02,8.000000000000008493e-02,3.262471965515456418e+02
-4.799999999999999822e-01,-1.999999999999991368e-02,9.999999999999999167e-02,3.183785848088513148e+02
-4.799999999999999822e-01,-1.999999999999991368e-02,1.200000000000000094e-01,3.110874610390441148e+02
-4.799999999999999822e-01,0.000000000000000000e+00,-1.399999999999999856e-01,3.050696882197918285e+02
-4.799999999999999822e-01,0.000000000000000000e+00,-1.199999999999999678e-01,3.122576454459651245e+02
-4.799999999999999822e-01,0.000000000000000000e+00,-9.999999999999999167e-02,3.191533379240602244e+02
-4.799999999999999822e-01,0.000000000000000000e+00,-7.999999999999997391e-02,3.276253694346311249e+02
-4.799999999999999822e-01,0.000000000000000000e+00,-5.999999999999995615e-02,3.407538596511719788e+02
-4.799999999999999822e-01,0.000000000000000000e+00,-3.999999999999998695e-02,3.647792721356746029e+02
-4.799999999999999822e-01,0.000000000000000000e+00,-1.999999999999991368e-02,4.260019297256524169e+02
-4.799999999999999822e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.292131634855257971e+02
-4.799999999999999822e-01,0.000000000000000000e+00,2.000000000000002123e-02,4.260019120885542634e+02
-4.799999999999999822e-01,0.000000000000000000e+00,4.000000000000004247e-02,3.647792374087930511e+02
-4.799999999999999822e-01,0.000000000000000000e+00,6.000000000000006023e-02,3.407538092536845511e+02
-4.799999999999999822e-01,0.000000000000000000e+00,8.000000000000008493e-02,3.276253064014741767e+02
-4.799999999999999822e-01,0.000000000000000000e+00,9.999999999999999167e-02,3.191532684049857380e+02
-4.799999999999999822e-01,0.000000000000000000e+00,1.200000000000000094e-01,3.122575817447968802e+02
-4.799999999999999822e-01,0.000000000000000000e+00,1.400000000000000411e-01,3.050696526395141746e+02
-4.799999999999999822e-01,2.000000000000002123e-02,-1.199999999999999678e-01,3.110875007153885008e+02
-4.799999999999999822e-01,2.000000000000002123e-02,-9.999999999999999167e-02,3.183786302053998725e+02
-4.799999999999999822e-01,2.000000000000002123e-02,-7.999999999999997391e-02,3.262472359963827557e+02
-4.799999999999999822e-01,2.000000000000002123e-02,-5.999999999999995615e-02,3.375186349996616286e+02
